school_name,link,address,category,rating,last_report_date,urn,is_religious
Charterhouse Square School,/provider/27/100463,"33-40 Charterhouse Square, London, EC1M 6EA",Independent School,Outstanding,18 July 2012,100463,False
Prior Weston Primary School and Children's Centre,/provider/21/100434,"101 Whitecross Street, London, EC1Y 8JA",Primary,Good,20 October 2022,100434,False
"City of London Primary Academy, Islington",/provider/21/143020,"15 Baltic Street West, London, EC1Y 0AE",Primary,Outstanding,05 December 2019,143020,False
Dallington School,/provider/27/100462,"8 Dallington Street, London, Greater London, United Kingdom, EC1V 0BW",Independent School,Requires Improvement,06 December 2022,100462,False
St Peter and St Paul Catholic Primary School,/provider/21/100447,"Compton Street, Goswell Road, Islington, London, EC1V 0EU",Primary,Good,29 September 2023,100447,True
St Alban's Church of England Primary School,/provider/21/100036,"Baldwins Gardens, Holborn, London, EC1N 7SD",Primary,Good,13 May 2019,100036,True
City Junior School,/provider/27/149158,"City Junior School, 4 Gray's Inn Place, London, WC1R 5EY",Independent School,Good,27 November 2023,149158,False
St Luke's CofE Primary School,/provider/21/100443,"Radnor Street, London, EC1V 3SJ",Primary,Good,19 July 2023,100443,True
Christopher Hatton Primary School,/provider/21/130342,"38 Laystall Street, London, EC1R 4PQ",Primary,Outstanding,09 May 2022,130342,False
The Lyceum,/provider/27/131343,"59-65 Worship Street, Shoreditch, London, EC2A 2DU",Independent School,Good,19 January 2010,131343,False
Moreland Primary School,/provider/21/100415,"Moreland Street, London, EC1V 8BB",Primary,Good,28 May 2020,100415,False
Hugh Myddelton Primary School,/provider/21/131842,"Myddelton Street, London, EC1R 1YJ",Primary,Outstanding,18 March 2024,131842,False
St George the Martyr Church of England Primary School,/provider/21/100040,"John's Mews, London, WC1N 2NX",Primary,Outstanding,16 July 2024,100040,True
New Regent's College,/provider/22/134635,"Nile Street, London, N1 7RD",Pupil Referral Unit,Good,14 September 2021,134635,False
Children's Hospital School at Gt Ormond Street and UCH,/provider/25/100060,"Great Ormond Street, Camden, London, WC1N 3JH",Special School,Outstanding,23 January 2024,100060,False
St Clement Danes CofE Primary School,/provider/21/101127,"118 Drury Lane, Covent Garden, London, WC2B 5SU",Primary,Outstanding,24 June 2020,101127,True
The Aldgate School,/provider/21/100000,"St James's Passage, Duke's Place, London, EC3A 5DE",Primary,Outstanding,12 July 2024,100000,True
St Josephs Catholic Primary School,/provider/21/100041,"Macklin Street, Covent Garden, London, WC2B 5NA",Primary,Good,19 March 2024,100041,True
Hanover Primary School,/provider/21/100407,"Noel Road, Islington, London, N1 8BD",Primary,Good,07 July 2023,100407,False
The Cathedral School of St Saviour and St Mary Overie,/provider/21/100840,"Redcross Way, Southwark, London, SE1 1HG",Primary,Outstanding,31 January 2023,100840,True
St Monica's Roman Catholic Primary School,/provider/21/100268,"43 Hoxton Street, London, N1 6QN",Primary,Good,01 April 2022,100268,True
