record_date,link,record_details,publication_date,school_id
20 September 2023,https://files.ofsted.gov.uk/v1/file/50231826,Accreditation Visit,02 November 2023,100003_149905
08 November 2023,https://files.ofsted.gov.uk/v1/file/50235382,Accreditation Visit,14 December 2023,100003_150162
21 February 2024,https://files.ofsted.gov.uk/v1/file/50241667,Accreditation Visit,14 March 2024,100003_150163
27 March 2024,https://files.ofsted.gov.uk/v1/file/50245873,Accreditation Visit,03 May 2024,100003_150164
28 November 2023,https://files.ofsted.gov.uk/v1/file/50239022,Full inspection,03 February 2024,10_SC010255
21 February 2023,https://files.ofsted.gov.uk/v1/file/50214974,Full inspection,27 April 2023,10_SC010255
25 January 2022,https://files.ofsted.gov.uk/v1/file/50179657,Full inspection,19 March 2022,10_SC010255
19 November 2019,https://files.ofsted.gov.uk/v1/file/50134259,Full inspection,14 December 2019,10_SC010255
15 January 2019,https://files.ofsted.gov.uk/v1/file/50056364,Full inspection,15 February 2019,10_SC010255
07 November 2017,https://files.ofsted.gov.uk/v1/file/2740973,Full inspection,04 December 2017,10_SC010255
29 November 2016,https://files.ofsted.gov.uk/v1/file/2642225,Full inspection,02 February 2017,10_SC010255
26 January 2016,https://files.ofsted.gov.uk/v1/file/2564157,Full inspection,25 February 2016,10_SC010255
19 March 2014,https://files.ofsted.gov.uk/v1/file/2371261,Full inspection,01 May 2014,10_SC010255
09 October 2012,https://files.ofsted.gov.uk/v1/file/2140163,Full inspection,23 November 2012,10_SC010255
30 January 2012,https://files.ofsted.gov.uk/v1/file/1917649,Full inspection,03 March 2012,10_SC010255
06 December 2010,https://files.ofsted.gov.uk/v1/file/1486497,Full inspection,25 January 2011,10_SC010255
12 November 2009,https://files.ofsted.gov.uk/v1/file/2788250,Full inspection,07 December 2009,10_SC010255
30 March 2009,https://files.ofsted.gov.uk/v1/file/1301001,Full inspection,15 May 2009,10_SC010255
14 November 2006,https://files.ofsted.gov.uk/v1/file/1655173,Inspection,14 December 2006,10_SC010255
17 January 2006,https://files.ofsted.gov.uk/v1/file/1629615,Inspection,17 February 2006,10_SC010255
18 January 2005,https://files.ofsted.gov.uk/v1/file/1646531,Inspection,18 February 2005,10_SC010255
18 November 2003,https://files.ofsted.gov.uk/v1/file/1659001,Inspection,18 December 2003,10_SC010255
05 February 2024,https://files.ofsted.gov.uk/v1/file/50242258,Full inspection,20 March 2024,10_SC042132
21 March 2023,https://files.ofsted.gov.uk/v1/file/50216927,Full inspection,17 May 2023,10_SC042132
19 October 2021,https://files.ofsted.gov.uk/v1/file/50173279,Full inspection,02 December 2021,10_SC042132
05 November 2019,https://files.ofsted.gov.uk/v1/file/50129645,Full inspection,30 November 2019,10_SC042132
11 March 2019,https://files.ofsted.gov.uk/v1/file/50068586,Full inspection,05 April 2019,10_SC042132
26 September 2017,https://files.ofsted.gov.uk/v1/file/2734137,Full inspection,01 November 2017,10_SC042132
06 December 2016,https://files.ofsted.gov.uk/v1/file/2638995,Full inspection,25 January 2017,10_SC042132
14 September 2015,https://files.ofsted.gov.uk/v1/file/2564174,Full inspection,23 October 2015,10_SC042132
23 March 2015,https://files.ofsted.gov.uk/v1/file/2489722,Full inspection,25 June 2015,10_SC042132
19 November 2013,https://files.ofsted.gov.uk/v1/file/2306729,Full inspection,28 December 2013,10_SC042132
30 November 2012,https://files.ofsted.gov.uk/v1/file/2180215,Full inspection,26 January 2013,10_SC042132
24 January 2011,https://files.ofsted.gov.uk/v1/file/1522757,Full inspection,19 March 2011,10_SC042132
02 February 2010,https://files.ofsted.gov.uk/v1/file/1382217,Full inspection,01 April 2010,10_SC042132
26 March 2008,https://files.ofsted.gov.uk/v1/file/1189113,Full inspection,13 May 2008,10_SC042132
11 December 2006,https://files.ofsted.gov.uk/v1/file/1628979,Inspection,11 January 2007,10_SC042132
