school_name,link,address,category,rating,last_report_date,urn
St Peter and St Paul Catholic Primary School,/provider/21/100447,"Compton Street, Goswell Road, Islington, London, EC1V 0EU",Primary,Good,29 September 2023,100447
St Alban's Church of England Primary School,/provider/21/100036,"Baldwins Gardens, Holborn, London, EC1N 7SD",Primary,Good,13 May 2019,100036
St Luke's CofE Primary School,/provider/21/100443,"Radnor Street, London, EC1V 3SJ",Primary,Good,19 July 2023,100443
St George the Martyr Church of England Primary School,/provider/21/100040,"John's Mews, London, WC1N 2NX",Primary,Outstanding,16 July 2024,100040
St Clement Danes CofE Primary School,/provider/21/101127,"118 Drury Lane, Covent Garden, London, WC2B 5SU",Primary,Outstanding,24 June 2020,101127
The Aldgate School,/provider/21/100000,"St James's Passage, Duke's Place, London, EC3A 5DE",Primary,Outstanding,12 July 2024,100000
The Cathedral School of St Saviour and St Mary Overie,/provider/21/100840,"Redcross Way, Southwark, London, SE1 1HG",Primary,Outstanding,31 January 2023,100840
St Monica's Roman Catholic Primary School,/provider/21/100268,"43 Hoxton Street, London, N1 6QN",Primary,Good,01 April 2022,100268
St John the Baptist Voluntary Aided Church of England Primary School,/provider/21/100266,"Crondall Street, London, N1 6JG",Primary,Outstanding,19 December 2023,100266
"Saint Joseph's Catholic Primary School, the Borough",/provider/21/100834,"Little Dorrit Court, Redcross Way, London, SE1 1NJ",Primary,Good,27 November 2023,100834
St John Evangelist RC Primary School,/provider/21/100438,"Duncan Street, Islington High Street, London, N1 8BL",Primary,Good,10 June 2024,100438
Christ Church CofE School,/provider/21/100944,"47a Brick Lane, Spitalfields, London, E1 6PU",Primary,Good,27 April 2023,100944
London Christian School,/provider/27/135409,"40 Tabard Street, London, SE1 4JU",Independent School,,23 July 2010,135409
English Martyrs Roman Catholic Primary School,/provider/21/100962,"St Mark Street, Wapping, London, E1 8DJ",Primary,Good,06 May 2022,100962
St Anne's and Guardian Angels Catholic Primary School,/provider/21/100950,"Underwood Road, Whitechapel, London, E1 5AW",Primary,Good,10 March 2020,100950
St George's Cathedral Catholic Primary School,/provider/21/100828,"28 Lambeth Road, London, SE1 6HR",Primary,Good,04 July 2024,100828
St Mary's CofE Primary School,/provider/21/100446,"Fowler Road, Islington, London, N1 2EP",Primary,Good,17 May 2023,100446
St Jude's Church of England Primary School,/provider/21/100835,"Colnbrook Street, London, SE1 6HA",Primary,Good,20 January 2022,100835
Blessed Sacrament RC Primary School,/provider/21/100451,"Boadicea Street, Kings Cross, London, N1 0UF",Primary,Good,09 November 2018,100451
St Andrew's (Barnsbury) Church of England Primary School,/provider/21/100448,"Matilda Street, Islington, London, N1 0LB",Primary,Good,12 May 2022,100448
